order_month,revenue,gross_profit,margin_pct,orders,customers,units,average_order_value,yoy_revenue_pct
2024-01,87584.68,34090.91,0.3892,556,502,1259,157.53,
2024-02,92372.22,37136.79,0.402,562,512,1312,164.36,
2024-03,96530.4,38273.23,0.3965,588,547,1386,164.17,
2024-04,93108.75,36939.81,0.3967,564,519,1306,165.09,
2024-05,93928.44,37760.61,0.402,561,510,1342,167.43,
2024-06,86090.14,34705.61,0.4031,531,494,1234,162.13,
2024-07,99367.66,38943.57,0.3919,595,548,1382,167.0,
2024-08,97421.4,38735.09,0.3976,592,535,1389,164.56,
2024-09,93073.04,36913.32,0.3966,560,501,1302,166.2,
2024-10,98446.75,38268.96,0.3887,605,548,1382,162.72,
2024-11,210780.24,83932.23,0.3982,1281,1027,3006,164.54,
2024-12,218701.81,88140.18,0.403,1353,1083,3106,161.64,
2025-01,102936.26,39751.73,0.3862,596,539,1469,172.71,0.1753
2025-02,83429.92,32759.82,0.3927,520,468,1189,160.44,-0.0968
2025-03,87296.56,34828.33,0.399,535,491,1215,163.17,-0.0957
2025-04,96623.18,37462.54,0.3877,575,538,1345,168.04,0.0377
2025-05,95679.49,38475.74,0.4021,580,523,1379,164.96,0.0186
2025-06,85908.15,34485.69,0.4014,536,498,1253,160.28,-0.0021
2025-07,83926.7,32916.6,0.3922,554,499,1239,151.49,-0.1554
2025-08,90796.53,36379.19,0.4007,582,528,1340,156.01,-0.068
2025-09,92577.86,36458.13,0.3938,583,535,1361,158.8,-0.0053
2025-10,90404.58,34957.1,0.3867,590,517,1342,153.23,-0.0817
2025-11,210385.92,83676.0,0.3977,1268,1038,2936,165.92,-0.0019
2025-12,210193.68,84708.86,0.403,1293,1062,2930,162.56,-0.0389
