product_id,product_name,category,subcategory,revenue,gross_profit,units,orders
P0011,Computing 03,Electronics,Computing,61658.07,15659.38,330,249
P0004,Audio 04,Electronics,Audio,59689.08,22218.18,295,225
P0001,Audio 01,Electronics,Audio,58707.61,29906.65,304,244
P0014,Computing 06,Electronics,Computing,57906.63,23187.66,314,239
P0020,Accessories 04,Electronics,Accessories,55689.23,23617.63,296,232
P0008,Audio 08,Electronics,Audio,54515.72,23142.73,323,257
P0006,Audio 06,Electronics,Audio,53514.4,17472.61,311,246
P0023,Accessories 07,Electronics,Accessories,50868.7,25887.03,341,268
P0009,Computing 01,Electronics,Computing,49818.62,22430.07,343,272
P0012,Computing 04,Electronics,Computing,49675.36,22194.7,296,232
P0021,Accessories 05,Electronics,Accessories,49224.76,12498.36,320,250
P0002,Audio 02,Electronics,Audio,47307.4,13660.49,323,255
P0018,Accessories 02,Electronics,Accessories,46618.61,20859.32,343,269
P0024,Accessories 08,Electronics,Accessories,45188.75,10952.5,305,242
P0015,Computing 07,Electronics,Computing,44696.81,13247.77,356,269
P0013,Computing 05,Electronics,Computing,43078.83,18354.33,318,252
P0019,Accessories 03,Electronics,Accessories,41378.11,20602.59,328,265
P0022,Accessories 06,Electronics,Accessories,40891.23,14588.31,346,256
P0016,Computing 08,Electronics,Computing,38861.02,10340.91,315,241
P0007,Audio 07,Electronics,Audio,35565.9,14978.48,307,241
P0010,Computing 02,Electronics,Computing,35487.63,18272.4,321,252
P0107,Outdoor 03,Sports,Outdoor,31430.66,10557.25,380,279
P0030,Kitchen 06,Home,Kitchen,31266.88,10963.58,382,283
P0035,Decor 03,Home,Decor,29722.75,13353.77,354,266
P0104,Fitness 08,Sports,Fitness,29707.98,7386.96,322,247
P0040,Decor 08,Home,Decor,29197.05,11571.87,334,254
P0097,Fitness 01,Sports,Fitness,28028.86,8093.76,311,245
P0005,Audio 05,Electronics,Audio,27700.69,13870.4,330,261
P0044,Storage 04,Home,Storage,27530.17,15056.21,317,246
P0017,Accessories 01,Electronics,Accessories,27346.83,12502.35,329,261
P0098,Fitness 02,Sports,Fitness,27036.52,10383.32,316,233
P0026,Kitchen 02,Home,Kitchen,26392.75,11870.55,308,246
P0039,Decor 07,Home,Decor,26286.58,8106.26,296,236
P0032,Kitchen 08,Home,Kitchen,26035.57,13011.16,327,251
P0100,Fitness 04,Sports,Fitness,25934.75,11057.4,335,258
P0046,Storage 06,Home,Storage,25543.11,6314.51,316,246
P0103,Fitness 07,Sports,Fitness,25105.66,8105.83,369,282
P0114,Team Sports 02,Sports,Team Sports,24945.84,13083.04,376,272
P0047,Storage 07,Home,Storage,24730.09,12991.18,309,229
P0065,Footwear 01,Apparel,Footwear,24243.07,9670.57,335,268
P0108,Outdoor 04,Sports,Outdoor,24038.06,11312.74,316,242
P0117,Team Sports 05,Sports,Team Sports,23732.49,7373.01,348,257
P0116,Team Sports 04,Sports,Team Sports,23391.29,9585.19,326,257
