order_id,line_number,product_id,quantity,unit_price,unit_cost,discount_pct
O0000001,1,P0100,1,80.46,44.41,0.0600
O0000002,1,P0042,1,47.70,33.91,0.0000
O0000002,2,P0021,1,159.40,114.77,0.0000
O0000003,1,P0061,2,46.83,25.04,0.0000
O0000003,2,P0120,1,36.26,17.87,0.0000
O0000003,3,P0110,1,33.88,20.23,0.0000
O0000004,1,P0091,1,57.30,30.78,0.0900
O0000005,1,P0036,1,46.71,31.77,0.0500
O0000006,1,P0036,1,46.48,31.77,0.0500
O0000006,2,P0078,1,29.35,16.10,0.1000
O0000007,1,P0039,1,92.57,61.42,0.0000
O0000008,1,P0018,2,144.23,75.10,0.0000
O0000008,2,P0099,1,47.43,23.38,0.0000
O0000009,1,P0091,1,56.49,30.78,0.0000
O0000009,2,P0034,1,37.93,26.79,0.0000
O0000010,1,P0065,2,76.31,43.50,0.0900
O0000010,2,P0112,1,45.06,30.11,0.0900
O0000010,3,P0103,3,71.57,46.07,0.0900
O0000010,4,P0042,2,47.46,33.91,0.0900
O0000011,1,P0058,2,31.02,16.03,0.0600
O0000012,1,P0114,1,71.88,31.55,0.0800
O0000012,2,P0003,1,75.10,37.21,0.0300
O0000012,3,P0052,1,51.91,32.91,0.0300
O0000013,1,P0113,1,34.49,24.32,0.0300
O0000014,1,P0009,2,154.23,79.85,0.0600
O0000014,2,P0042,1,50.09,33.91,0.0600
O0000015,1,P0112,1,44.56,30.11,0.0000
O0000016,1,P0065,1,74.65,43.50,0.0300
O0000016,2,P0117,2,70.98,47.01,0.0300
O0000016,3,P0075,3,37.03,21.01,0.0300
O0000016,4,P0093,1,29.09,19.10,0.0300
O0000017,1,P0040,2,93.69,52.77,0.0000
O0000018,1,P0094,1,50.31,31.73,0.0000
O0000018,2,P0083,1,58.98,33.02,0.0000
O0000018,3,P0115,1,48.05,28.65,0.0500
O0000018,4,P0042,1,48.06,33.91,0.0000
O0000019,1,P0024,2,151.57,112.25,0.0300
O0000019,2,P0047,1,83.70,37.99,0.0300
O0000019,3,P0113,2,34.16,24.32,0.0300
O0000020,1,P0068,1,71.05,43.92,0.0800
O0000020,2,P0022,1,120.81,76.02,0.0300
O0000021,1,P0040,1,89.72,52.77,0.0000
O0000021,2,P0061,1,47.70,25.04,0.0000
O0000022,1,P0019,1,128.75,63.34,0.1100
O0000023,1,P0067,3,39.57,22.62,0.1600
O0000023,2,P0074,1,24.26,14.68,0.2100
O0000024,1,P0031,1,63.44,43.21,0.0900
O0000024,2,P0021,1,164.14,114.77,0.0900
O0000024,3,P0051,1,53.58,23.81,0.0900
O0000025,1,P0115,1,48.84,28.65,0.0000
O0000026,1,P0070,1,66.32,32.10,0.1600
O0000026,2,P0017,1,86.83,45.12,0.1100
O0000027,1,P0026,1,88.06,47.15,0.1800
O0000027,2,P0094,2,51.40,31.73,0.2300
O0000028,1,P0080,2,26.94,13.59,0.1500
O0000028,2,P0029,1,52.69,33.10,0.0500
O0000029,1,P0039,1,93.85,61.42,0.0000
O0000029,2,P0001,1,203.50,94.74,0.0000
O0000030,1,P0032,1,82.00,39.83,0.0000
O0000030,2,P0051,2,56.03,23.81,0.0500
O0000030,3,P0101,1,37.00,19.90,0.0000
O0000030,4,P0021,1,157.72,114.77,0.0000
O0000031,1,P0077,1,46.16,22.31,0.1300
O0000031,2,P0061,1,48.46,25.04,0.1300
O0000032,1,P0113,1,34.57,24.32,0.1000
O0000032,2,P0091,1,58.50,30.78,0.1500
O0000033,1,P0111,1,71.77,33.21,0.0000
O0000033,2,P0099,1,47.60,23.38,0.0000
O0000034,1,P0091,1,58.22,30.78,0.2100
O0000034,2,P0063,2,34.62,16.24,0.2100
O0000035,1,P0051,1,54.99,23.81,0.0800
O0000036,1,P0086,1,52.51,28.17,0.0300
O0000036,2,P0117,2,73.40,47.01,0.0800
O0000037,1,P0090,3,54.85,24.31,0.1300
O0000038,1,P0012,1,181.07,92.84,0.0000
O0000038,2,P0043,3,36.67,20.93,0.0000
O0000039,1,P0110,1,33.96,20.23,0.0000
O0000040,1,P0097,1,92.51,64.10,0.1000
O0000040,2,P0072,1,45.93,24.04,0.1500
O0000041,1,P0114,1,69.74,31.55,0.0300
O0000041,2,P0103,1,70.34,46.07,0.0300
O0000041,3,P0038,1,41.65,25.93,0.0300
O0000042,1,P0038,1,43.16,25.93,0.0800
O0000043,1,P0114,3,71.75,31.55,0.1500
O0000043,2,P0116,1,74.40,42.35,0.1000
O0000044,1,P0118,2,54.92,33.64,0.2400
O0000045,1,P0074,1,23.92,14.68,0.0000
O0000045,2,P0108,1,78.78,40.27,0.0000
O0000046,1,P0093,1,29.82,19.10,0.0000
O0000047,1,P0085,1,32.33,15.20,0.0600
O0000048,1,P0041,1,34.30,20.50,0.0300
O0000048,2,P0111,1,74.83,33.21,0.0300
O0000049,1,P0023,1,155.76,73.26,0.0000
O0000049,2,P0107,1,89.52,54.93,0.0500
O0000050,1,P0024,1,159.52,112.25,0.0000
O0000050,2,P0013,1,142.14,77.75,0.0000
O0000050,3,P0040,1,92.50,52.77,0.0000
O0000051,1,P0022,1,122.41,76.02,0.2000
O0000052,1,P0064,1,59.38,27.47,0.0000
O0000052,2,P0024,1,154.79,112.25,0.0000
O0000053,1,P0004,2,217.05,127.02,0.0000
O0000053,2,P0080,1,26.92,13.59,0.0000
O0000053,3,P0005,1,88.49,41.91,0.0000
O0000054,1,P0071,2,40.47,19.79,0.0000
O0000054,2,P0107,1,85.31,54.93,0.0000
O0000054,3,P0050,3,69.97,42.47,0.0000
O0000055,1,P0069,1,55.50,34.04,0.0000
O0000055,2,P0067,1,39.73,22.62,0.0000
O0000056,1,P0064,3,61.58,27.47,0.1000
O0000057,1,P0041,1,32.95,20.50,0.0300
O0000058,1,P0048,1,53.12,27.51,0.1100
O0000059,1,P0006,1,176.09,115.89,0.0600
O0000059,2,P0119,1,45.80,21.04,0.0600
O0000060,1,P0019,1,130.05,63.34,0.0300
O0000061,1,P0035,1,87.86,46.24,0.0000
O0000061,2,P0053,1,41.10,22.00,0.0000
O0000062,1,P0029,1,52.52,33.10,0.0300
O0000062,2,P0010,1,115.22,53.63,0.0300
O0000063,1,P0016,1,130.15,90.54,0.1100
O0000064,1,P0089,2,40.13,19.16,0.0000
O0000065,1,P0093,1,28.52,19.10,0.0500
O0000065,2,P0041,2,33.21,20.50,0.0000
O0000066,1,P0043,1,36.14,20.93,0.0500
O0000066,2,P0085,1,31.34,15.20,0.1500
O0000067,1,P0048,2,52.82,27.51,0.0000
O0000067,2,P0005,1,87.42,41.91,0.0500
O0000067,3,P0019,1,134.04,63.34,0.0000
O0000068,1,P0079,1,43.99,19.58,0.0300
O0000069,1,P0059,1,72.21,46.45,0.0000
O0000069,2,P0069,1,58.20,34.04,0.0000
O0000069,3,P0113,2,34.14,24.32,0.0000
O0000070,1,P0057,1,48.01,22.51,0.1900
