order_id,customer_id,order_date,channel,store_id,campaign_id,status,payment_method
O0000001,C000669,2025-12-04,Marketplace,,,Completed,Card
O0000002,C001251,2024-11-23,Web,,,Returned,Card
O0000003,C002116,2025-04-30,Mobile App,,,Completed,Card
O0000004,C000024,2025-12-21,Mobile App,,,Cancelled,Digital Wallet
O0000005,C001530,2024-01-25,Mobile App,,CMP001,Completed,Card
O0000006,C002955,2025-08-30,Marketplace,,CMP014,Completed,Gift Card
O0000007,C001933,2024-05-17,Store,S024,,Completed,Card
O0000008,C001343,2025-08-09,Web,,,Completed,Digital Wallet
O0000009,C001827,2024-08-07,Web,,,Completed,Card
O0000010,C001993,2024-02-19,Store,S005,,Completed,Card
O0000011,C001919,2025-09-16,Store,S013,,Completed,Card
O0000012,C001354,2024-03-15,Web,,,Completed,Digital Wallet
O0000013,C001338,2025-06-29,Web,,,Completed,Card
O0000014,C000608,2024-07-30,Store,S011,,Completed,Digital Wallet
O0000015,C000955,2024-08-10,Store,S016,,Completed,Bank Transfer
O0000016,C001831,2025-03-25,Store,S004,,Completed,Card
O0000017,C002084,2024-04-24,Store,S004,,Completed,Digital Wallet
O0000018,C001232,2024-08-22,Store,S006,,Completed,Card
O0000019,C002530,2025-02-28,Store,S014,,Returned,Digital Wallet
O0000020,C000106,2025-11-24,Mobile App,,,Completed,Card
O0000021,C001949,2025-04-20,Mobile App,,,Completed,Card
O0000022,C002935,2024-04-08,Mobile App,,,Completed,Card
O0000023,C001655,2024-10-16,Store,S014,CMP007,Completed,Bank Transfer
O0000024,C000141,2025-01-29,Mobile App,,,Completed,Digital Wallet
O0000025,C002545,2024-09-26,Store,S003,,Completed,Card
O0000026,C002249,2025-04-12,Web,,CMP011,Completed,Card
O0000027,C001787,2025-07-20,Store,S011,CMP013,Completed,Digital Wallet
O0000028,C002210,2024-08-23,Marketplace,,CMP006,Completed,Card
O0000029,C001642,2024-10-30,Web,,,Completed,Card
O0000030,C000274,2024-03-01,Store,S004,,Completed,Digital Wallet
O0000031,C001817,2024-05-25,Mobile App,,CMP004,Completed,Card
O0000032,C002950,2024-12-15,Marketplace,,CMP008,Completed,Card
O0000033,C001486,2024-09-04,Web,,,Returned,Card
O0000034,C001030,2024-12-08,Web,,CMP008,Completed,Card
O0000035,C002633,2024-04-10,Store,S020,,Completed,Gift Card
O0000036,C001804,2025-04-16,Web,,,Completed,Card
O0000037,C000117,2025-04-12,Store,S006,CMP011,Completed,Digital Wallet
O0000038,C002288,2025-07-14,Mobile App,,,Completed,Card
O0000039,C002958,2024-04-02,Store,S022,,Completed,Digital Wallet
O0000040,C001481,2024-06-12,Store,S007,CMP004,Completed,Digital Wallet
O0000041,C001658,2025-12-13,Store,S010,,Completed,Bank Transfer
O0000042,C000920,2025-12-12,Store,S002,,Completed,Digital Wallet
O0000043,C001798,2025-02-28,Marketplace,,CMP010,Completed,Card
O0000044,C000962,2024-11-23,Store,S012,CMP008,Completed,Card
O0000045,C000430,2025-09-10,Store,S006,,Completed,Bank Transfer
O0000046,C002294,2025-04-04,Store,S003,,Completed,Card
O0000047,C000113,2025-12-31,Web,,,Completed,Card
O0000048,C001354,2024-08-26,Mobile App,,,Completed,Card
O0000049,C002515,2024-03-06,Mobile App,,,Completed,Card
O0000050,C002352,2025-12-18,Store,S022,,Completed,Card
O0000051,C001392,2025-04-07,Web,,CMP011,Cancelled,Card
O0000052,C001255,2024-01-29,Web,,,Completed,Card
O0000053,C000725,2025-03-27,Mobile App,,,Completed,Card
O0000054,C000686,2024-04-12,Web,,,Completed,Gift Card
O0000055,C000171,2025-11-28,Web,,,Completed,Card
O0000056,C002566,2025-03-12,Store,S016,CMP010,Completed,Card
O0000057,C002161,2024-02-12,Store,S005,,Completed,Card
O0000058,C001241,2025-01-29,Marketplace,,CMP009,Completed,Card
O0000059,C000761,2024-08-14,Store,S020,,Completed,Card
O0000060,C001355,2024-06-30,Mobile App,,,Completed,Digital Wallet
O0000061,C001732,2025-11-27,Mobile App,,,Completed,Gift Card
O0000062,C002000,2024-09-16,Web,,,Completed,Card
O0000063,C001051,2025-11-28,Mobile App,,CMP016,Completed,Card
O0000064,C002040,2024-12-16,Store,S008,,Completed,Card
O0000065,C001795,2024-05-26,Mobile App,,,Completed,Bank Transfer
O0000066,C001893,2024-07-24,Store,S004,CMP005,Completed,Card
O0000067,C002242,2024-12-17,Web,,,Completed,Card
O0000068,C000145,2025-07-31,Store,S004,,Returned,Digital Wallet
O0000069,C002010,2025-09-19,Marketplace,,,Completed,Card
O0000070,C001229,2025-11-13,Store,S024,CMP016,Completed,Card
O0000071,C002329,2024-07-18,Mobile App,,,Completed,Card
O0000072,C000209,2024-07-23,Web,,CMP005,Returned,Card
O0000073,C000535,2025-05-13,Marketplace,,,Completed,Digital Wallet
