product_id,product_name,category,subcategory,list_price,unit_cost
P0001,Audio 01,Electronics,Audio,202.36,94.74
P0002,Audio 02,Electronics,Audio,154.00,104.17
P0003,Audio 03,Electronics,Audio,75.43,37.21
P0004,Audio 04,Electronics,Audio,213.29,127.02
P0005,Audio 05,Electronics,Audio,88.01,41.91
P0006,Audio 06,Electronics,Audio,180.24,115.89
P0007,Audio 07,Electronics,Audio,122.27,67.06
P0008,Audio 08,Electronics,Audio,176.20,97.13
P0009,Computing 01,Electronics,Computing,152.78,79.85
P0010,Computing 02,Electronics,Computing,116.43,53.63
P0011,Computing 03,Electronics,Computing,196.75,139.39
P0012,Computing 04,Electronics,Computing,177.81,92.84
P0013,Computing 05,Electronics,Computing,142.99,77.75
P0014,Computing 06,Electronics,Computing,192.79,110.57
P0015,Computing 07,Electronics,Computing,131.94,88.34
P0016,Computing 08,Electronics,Computing,129.72,90.54
P0017,Accessories 01,Electronics,Accessories,87.85,45.12
P0018,Accessories 02,Electronics,Accessories,142.53,75.10
P0019,Accessories 03,Electronics,Accessories,131.96,63.34
P0020,Accessories 04,Electronics,Accessories,200.22,108.35
P0021,Accessories 05,Electronics,Accessories,161.08,114.77
P0022,Accessories 06,Electronics,Accessories,123.69,76.02
P0023,Accessories 07,Electronics,Accessories,155.81,73.26
P0024,Accessories 08,Electronics,Accessories,155.97,112.25
P0025,Kitchen 01,Home,Kitchen,66.69,42.84
P0026,Kitchen 02,Home,Kitchen,89.94,47.15
P0027,Kitchen 03,Home,Kitchen,43.20,25.71
P0028,Kitchen 04,Home,Kitchen,58.11,26.52
P0029,Kitchen 05,Home,Kitchen,51.28,33.10
P0030,Kitchen 06,Home,Kitchen,85.77,53.15
P0031,Kitchen 07,Home,Kitchen,63.50,43.21
P0032,Kitchen 08,Home,Kitchen,83.54,39.83
P0033,Decor 01,Home,Decor,51.20,35.00
P0034,Decor 02,Home,Decor,38.17,26.79
P0035,Decor 03,Home,Decor,88.32,46.24
P0036,Decor 04,Home,Decor,46.09,31.77
P0037,Decor 05,Home,Decor,40.31,22.72
P0038,Decor 06,Home,Decor,42.87,25.93
P0039,Decor 07,Home,Decor,92.91,61.42
P0040,Decor 08,Home,Decor,91.77,52.77
P0041,Storage 01,Home,Storage,33.87,20.50
P0042,Storage 02,Home,Storage,48.66,33.91
P0043,Storage 03,Home,Storage,37.10,20.93
P0044,Storage 04,Home,Storage,91.08,39.35
P0045,Storage 05,Home,Storage,28.57,17.89
P0046,Storage 06,Home,Storage,84.67,60.85
P0047,Storage 07,Home,Storage,84.34,37.99
